page,feature_name,context,word_count,has_thai_music,has_jazz,has_ml_terms,has_fusion
78,rhythm,"n,  which consists of eight-bar phrases; of song chan, which consists of four measures; and of propkai  chan dio, which can be performed in a two-bar rhythmic pattern (Figure 3.10).     Figure 3.10: Nathap propkai.                                                           158 Miller and Williams, The Garland Handbo",174,False,False,False,False
78,thai_mode,"“wife drum” refers to the  lower-pitch drum, and the “husband drum” refers to the higher-pitch drum), thon (the wife),  and rammana (the husband):    Thang: an undamped stroke on the center of the wife drum’s head with closed right- hand fingers.   Ting: the same as the preceding stroke, but on the husba",174,False,False,False,False
79,rhythm,"ch thon were a chorus, from  a jazz perspective, can provide insight into commonalities shared among jazz and Thai classical  music. In addition, the rhythmic pattern of nathap probkhai is also known to be employed in  Thai compositions that contain less syncopation of the melodic line, and more predictable  rhythm",368,True,True,False,False
79,harmony,"sical structure. This larger unit of structure could be  compared with the concept of a “chorus” in jazz, where a cycle of a particular duration and  harmonic progression repeats. When two, three, or four thons (choruses) are combined, they  form a complete movement, called a chan. Analyzing a chan as if each thon were",368,True,True,False,False
79,thai_mode,"ly used in shorter pieces which typically feature  syncopated melodic lines and uneven melodic phrases. Nathap song mai is also characterized by  the thang, thin, jo, and ja sounds, just like nathap probkhai when performing klong khaek. In  comparison with nathap probkhai, the duration of nathap song mai",368,True,True,False,False
80,rhythm,"3: Identifying Musical Elements of dontri thai doem      64           Figure 3.11: Nathap song mai.     Inspired by the individual character of Thai rhythmic patterns and endeavoring to apply their  concepts to a crossover music project, I began to experimentally apply these musical elements  for my own jazz compo",152,False,True,False,False
81,improvisation,"I adapted nathap song mai song chan for the full woodwind and brass sections of a  modern jazz orchestra, to be played in homophonic rhythm during an improvised drum solo  (Figure 3.14). This provides a prominent musical character of Thai classical music rhythms and  emphasizes the integration of musical ele",182,True,True,False,False
83,thai_mode,"oem      67  complicated. In Thai classical music composition today, compositional concepts can be  typically divided into three categories: bangkhap thang (fully composed, required to be performed  in the exact version of the composer), mai bangkhap thang (composed only in terms of the main  structure a",307,True,True,False,False
83,improvisation,"performed  in the exact version of the composer), mai bangkhap thang (composed only in terms of the main  structure and allowing performers to apply improvisation techniques called plae thamnong), and  keung bangkahp thang-mai bangkhap thang (กึ#งบังคับทาง-ไม่บังคับทาง)(partly performed according to the  compos",307,True,True,False,False
84,rhythm,"f dontri thai doem      68    Figure 3.16: Melodic and rhythmic augmentation and diminution techniques in  “Khaek Toi Moh.” The red circles designate luk tok (target pitches) whose rhythm is  derived from song chan.    The “target pitches” (luk tok, circled in red) of each melodic line of “Khaek Toi Moh” p",187,False,False,False,False
85,thai_mode,"Thai classical music, and related to jazz  composition, is melodic variation. According to Uthit Naksawat, this melodic variation  approach, known as thang plien (ทางเปลี.ยน), is often used in works to develop new musical  concepts and evoke sensations of surprise in listeners.167 To implement this techn",428,True,True,False,False
86,thai_mode,"CHAPTER 3: Identifying Musical Elements of dontri thai doem      70    Figure 3.17: Thang plien (melodic variations).    In addition to these three compositional techniques, Thai composers frequently create  additional sections to their mo",246,True,True,False,False
88,thai_mode,"bellishments  that are similar to those common in Western music. These approaches help express the  character of an ensemble, and include 1) tremolo (thang kro), 2) a broken fragment of a melody  (luk lo), 3) call and response (luk kut)173, 4) the melodic displacement of rhythm (luk leuam)  (ลูกเหลื.อม),",251,True,False,False,False
90,thai_mode,Luk leuam technique in “Kluen Kratob Fung.”    One last compositional method of Thai classical music relevant to jazz composition is referred  to as thang khap luk khap dok (ทางคาบลูกคาบดอก). This technique helps composers balance the  compositional materials in Thai music. To apply thang khap luk khap,319,True,True,False,False
90,improvisation,"e of a  set of three grace notes (sabat, sadot) for melodic embellishment sections, or the implementation  of continuous sixteenth notes in idiomatic improvisation to create an intensity in texture known  as khayi (ขยี%).                                                               175 The transcription of “Klu",319,True,True,False,False
90,ornamentation,"n Thai music. To apply thang khap luk khap dok, which is widely utilized  in solo composition (phleng dio), Thai composers shift between instrumental ornaments—for  example, between single melodic pitch tremolo (rua), and thang kep (an instrumental technique  using a set of eight notes, mainly in an octave s",319,True,True,False,False
92,thai_mode,"cal  compositional techniques to create a contemporary jazz composition (Figure 3.26). The  introduction of this composition (A section), begins with thang kro (tremolo), widely found in  the introduction sections of Thai classical music pieces. This is followed by the C section,  whose use of luk yon (s",205,True,True,False,False
93,cross_cultural,"ve shown, applying the perspectives of Western musical analysis can assist in  understanding elements of Thai classical music that may be relevant to hybrid-style approaches  to jazz composition. Understanding the sacred and spiritual doctrine of Thai people’s belief is  also an important element of under",334,True,True,False,True
94,cross_cultural,"part in every Thai classical  musician’s education and are of high concern to the traditional music practices in Thai classical  music, of which any cross-cultural composers working on Thai classical music projects should  be appropriately considerate and aware.",446,True,False,False,True
95,rhythm,"notions are also strongly  connected to chan, which refers to the ideal tempos and is divided into three levels: sam chan,  song chan, and chan dio.  Rhythmic patterns of nathap propkai and nathap song mai also appear to be  used as accompaniments for drum, bass, and piano parts.    When writing thao compositions,",382,True,True,False,True
95,harmony,"e to, Western tuning,  which can be transcribed in Western staff notation as approximations. Thai classical music,  unlike Western music, contains no harmonic progression; instead, it is composed of multiple  distinct lines in the style of thang khrueang dontri. Thai musical textures can relate to idiomatic  heterophon",382,True,True,False,True
95,thai_mode,"s. Thai classical music,  unlike Western music, contains no harmonic progression; instead, it is composed of multiple  distinct lines in the style of thang khrueang dontri. Thai musical textures can relate to idiomatic  heterophony or polyphonic stratification depending on the style of composition. Two c",382,True,True,False,True
95,cross_cultural,"que way of tuning their  instruments, which is referred to as “intonation diversity,” an important considering when  undertaking a project of musical hybridization of Thai music with music for jazz orchestra.     Despite that diversity, many Thai instruments produce pitches in, or close to, Western tuning",382,True,True,False,True
96,khaen,"i, lai se, and common elements of jazz performance. In addition, I include  my full transcription of “Lai Teay Khong” performed by Sombat Simlah, the khaen master                                                           184 Miller, “Appropriating the Exotic: Thai Music and the Adoption of Chinese Elemen",183,True,True,False,False
97,cross_cultural,"music culture of central Thailand. I focus here on the music of the  Thai-Lao upper area (isan nuea), and on the ways I have adapted this music in my hybridization  processes as a composer.    This particular style of music depicts the way of life of Thai-Lao communities who live in the  wide plain area w",457,True,True,False,True
98,khaen,"cur with isan nuea musical instruments,  from my perspective as a jazz composer, is that one instrument is only capable of playing in  one key (e.g., khaen in Am, or wot in Dm), which may cause difficulty for isan nuea performers  when employing key modulation. (Isan nuea musicians prefer to refer to the",470,True,True,False,False
99,timbre,"stic produced by the khaen is a drone. Similar to Hindustani classical  and Carnatic music in India, the use of sustained pitches—known as sieng sep (เสียงเสพ)—can be  also observed in khaen performances. A set of such sustained pitches, consisting of the root,  P4, P5, and octave notes which are explici",355,True,False,False,False
99,thai_scale,"sequentially arranged from lower pitches to higher pitches, the fingerings used to play a khaen  paet can be disorienting, but are effective for the pentatonic concepts and traditional melodies  of isan nuea (Figure 4.1).190     Figure 4.1: Khaen paet’s fingering. The right hand’s fingers move among the adja",355,True,False,False,False
99,khaen,"Investigating the Musical Aspects of dontri isan nuea      83  C­, D,­ E,­, F ­, G­, A­­,  G­­, and C­­). Please note that multiple pipes on the same khaen  may produce the same pitch.189     The khaen paet (sixteen-pipe model) is the instrument that most frequently appears in isan nuea  performances. It",355,True,False,False,False
100,khaen,"CHAPTER 4:  Investigating the Musical Aspects of dontri isan nuea      84  of traditional compositions, and was also originally generated from khaen performance, with  isan nuea musicians identifying the concept as lai mae bot (fundamental modes).192 Experienced  or respected khaen players in comm",434,True,False,False,False
101,khaen,"CHAPTER 4:  Investigating the Musical Aspects of dontri isan nuea      85  To practically understand how the phin can function, I transcribed two solo pieces, “Lai Ka  Ten Kon (ลายกาเต้นก้อน)”196 (“crows dancing over the rocks”) by Thongsai Thabthanon—a phin  mas",254,False,False,False,False
102,thai_scale,"anscription by the author.    As the transcriptions in Figures 4.2 and 4.3 demonstrate, phin performances are primarily based  on the construction of pentatonic scales, which in these cases are D and G minor pentatonic  scales. From a vertical compositional perspective, these two transcriptions also illustrat",314,False,True,False,False
102,khaen,"f dontri isan nuea      86    Figure 4.3: “Lai Kaeo Na Ma.” Transcription by the author.    As the transcriptions in Figures 4.2 and 4.3 demonstrate, phin performances are primarily based  on the construction of pentatonic scales, which in these cases are D and G minor pentatonic  scales. From a vertica",314,False,True,False,False
103,thai_scale,"of dontri isan nuea      87  pong lang originally consisted of six distinct wooden bars that produced five different sounds  that related to a major pentatonic scale (e.g., G A C D E).199 Pleuang Chairasmee (1932 -  2007),200 a national artist and a Kalasin native, expanded the range of the pong lang by addi",298,False,True,False,False
104,improvisation,"at’s  performance of “Lai Ka Ten Kon” because of the relevance of several of the techniques  utilized in this performance to the jazz composition and improvisation methods described  below.    In this performance, drones on the pitch A are heard throughout, and the entire melody is  based on an A minor pentatoni",338,False,True,False,True
104,thai_scale,"ovisation methods described  below.    In this performance, drones on the pitch A are heard throughout, and the entire melody is  based on an A minor pentatonic scale. Similar to the performance on phin, upbeat accents are  also heard throughout the performance. The pong lang player also provides accented sta",338,False,True,False,True
104,khaen,"erformance, drones on the pitch A are heard throughout, and the entire melody is  based on an A minor pentatonic scale. Similar to the performance on phin, upbeat accents are  also heard throughout the performance. The pong lang player also provides accented staccato  articulation on multiple downbeats",338,False,True,False,True
104,cross_cultural,"CHAPTER 4:  Investigating the Musical Aspects of dontri isan nuea      88  Thai media, as well as in ensembles of cross-cultural music of a Thai pop-rock type, in regional  music scenes, called lum sing.202    For an example of pong lang, I transcribed a performance of “Lai Ka",338,False,True,False,True
105,rhythm,"is one of the notable musical characteristics. Because isan nuea  instruments typically serve to accompany traditional dances, as a consequence, the rhythmic  patterns in this particular music seem to be more aroused, excited, and more stimulated, in  comparison with other regional musical practices in Thailand. Th",208,False,False,False,False
106,thai_mode,"twice the size, and capable of making two sounds, called chap  (damped stoke), and chae (undamped stoke).    4.3 MUSICAL ELEMENTS  LAI    Similar to thang in Thai classical music, the word lai is used in several ways in reference to  significant elements of isan nuea.  It is being used in the names of t",438,False,True,False,True
106,thai_scale,"Lai Maeng Phu Tom Dok” (bugs swarm flowers). It can also be the  name of the sound of traditional isan nuea modes, such as lai yai, (equal to A minor pentatonic  scale) or lai noi (equal to D minor pentatonic scale). In addition, lai is used in the names of  repetitive melodic lines, used in processions, such",438,False,True,False,True
106,cross_cultural,"vince).     I begin my discussion of lai in its meaning as the sound of modes, as this is the most important  element of the concept to my process of hybridizing isan nuea with jazz composition. Then, I                                                           205 The bang fai ceremony is also known as th",438,False,True,False,True
107,thai_mode,"raditional isan nuea  singing, known as mawlum. Nowadays, the six modes typically heard in isan nuea performances  are divided into two groups 1. lai thang yao (equal to the structure of minor pentatonic scales),  and 2. lai thang san (major pentatonic scales) (Figure 4.6).   lai thang yao    1. lai yai,",242,False,True,False,False
107,improvisation,"apt  them to jazz compositions.    For the lai system of modes, isan nuea musicians produce sets of six distinct sounds, using these  sounds in their improvisation for solo performance, or to accompany traditional isan nuea  singing, known as mawlum. Nowadays, the six modes typically heard in isan nuea performan",242,False,True,False,False
107,thai_scale,"lum. Nowadays, the six modes typically heard in isan nuea performances  are divided into two groups 1. lai thang yao (equal to the structure of minor pentatonic scales),  and 2. lai thang san (major pentatonic scales) (Figure 4.6).   lai thang yao    1. lai yai, consisting of A, C, D, E, G (A minor pent.)",242,False,True,False,False
108,improvisation,"hile  performing as solo instruments, or to accompany singers. The application of modes in isan nuea  also plays a crucial role in the practice of an improvisation in thamnong yoi (an improvisational  section) that isan nuea musicians apply to express their artistic stories through their instrument.     As an ex",313,True,True,False,False
108,thai_scale,"cians apply modes to the construction of melody and  improvisational elements, I transcribed a live recording of a performance in lai se207 (E minor  pentatonic scale) by the maw khaen Buahong Phajung, a khaen performer native to Udon Thani  Province. According to the Khon Kaen University’s Isan Artists’ Arch",313,True,True,False,False
108,khaen,"truction of melody and  improvisational elements, I transcribed a live recording of a performance in lai se207 (E minor  pentatonic scale) by the maw khaen Buahong Phajung, a khaen performer native to Udon Thani  Province. According to the Khon Kaen University’s Isan Artists’ Archive, Buahong began to  l",313,True,True,False,False
108,cross_cultural,"ucial to this  khaen performance (Figure 4.7).209                                                               206 John Garzoli, “Mawlam and jazz in intercultural musical synthesis,” Rian Thai: International Journal of Thai Studies  11, no.1(2018), 14.  207 Lai se is one of the traditional modes in isan neua th",313,True,True,False,False
109,improvisation,"of the interesting aspects of this performance is how the maw khaen Buahong uses only  one particular mode, lai se, to express the musical story and improvise on his instrument. The  construction of this performance is primarily based on the E minor pentatonic scale, in which  the intervallic patterns predo",97,False,False,False,False
109,thai_scale,"r mode, lai se, to express the musical story and improvise on his instrument. The  construction of this performance is primarily based on the E minor pentatonic scale, in which  the intervallic patterns predominantly build up from E, such as, E-G, E-A, and E-B, and play  an important role in generating melodi",97,False,False,False,False
109,khaen,"igure 4.7: Buahong Phajung’s performance of lai se. Transcription by the author.    One of the interesting aspects of this performance is how the maw khaen Buahong uses only  one particular mode, lai se, to express the musical story and improvise on his instrument. The  construction of this performance i",97,False,False,False,False
110,improvisation,"ndents’ Club of Thailand (FCCT), “Sounds of Isan - Molam Music,”  <https://www.youtube.com/watch?v=6oJDOeIwUnw> (3 July 2019).  212 To listen my bass improvisation of lai yai, see <https://soundcloud.com/user-264254280/tanarat-chaichana- bass-solo?si=f09983fb96b2458282cb7f5e28ca0842>",457,False,True,False,True
110,thai_scale,"n also be examined in a  variety of places. Importantly, the transcription of Buahong’s performance also reveals that  chords generated by an E minor pentatonic scale, such as Gmaj, G6/9, Emin7, and Dsus4, are used  in various places throughout the performance, providing homophonic texture to isan nuea  music",457,False,True,False,True
110,khaen,"ic by 1) constructing the story from  concise and repetitive motifs in a similar manner to the previous transcription, 2) applying  drones related to khaen and phin performances, 3) employing related musical accents, on the  downbeats of beat one, and the upbeats of beats two and four, and 4) adapting si",457,False,True,False,True
110,cross_cultural,"ding interrupting  moods that also known Thai words as “phuk klon (ผูกกลอน) [intertwined poem].211     In developing practical methods for my musical hybridization project, I have adapted the  application of lai yai (A minor pentatonic) to an open section of a bass solo I played, where I  attempted to imi",457,False,True,False,True
111,improvisation,"dontri isan nuea      95  such as the use of Arabic scales in Yusef Lateef’s compositions, and the use of Indian raga and  tala in John Mclaughlin’s improvisation.213     Figure 4.8: Bass improvisation of lai yai by the author.    Another meaning of lai significant to a cross-cultural music composition study is",242,False,True,False,True
111,khaen,"213 For more information on my hybridization improvisation project, see “Applying Idiomatic Isan Nuea  Improvisation to Jazz: Adapting a Khaen Performance of “Lai Taey Khong” by Sombat Simla for Solo Double  Bass” The 2021 AJIRN conference <https://www.youtube.com/watch?v=lqEEEki879Y&t=378s>",242,False,True,False,True
111,cross_cultural,"tala in John Mclaughlin’s improvisation.213     Figure 4.8: Bass improvisation of lai yai by the author.    Another meaning of lai significant to a cross-cultural music composition study is its use in the  name of traditional compositions. “Lai Teay Khong,” “Lai Lom Phat Phrao” (wind blows  coconut trees), “Lai",242,False,True,False,True
112,improvisation,"on of a standard isan nuea  performance, called thamnong lak, after the introduction section called thamnong kern (ทํานองเกริ.น)  and followed by the improvisation section (based on the original composition themes), called  thamnong yoi or don (ด้น). To better understand the standard structure of isan nuea perfo",309,False,True,False,False
112,thai_scale,"ch I  have labelled as section “A” (with Figure 4.8).216 It consists of his spontaneous improvisation  in sets of sixteenth notes based on a B♭ minor pentatonic scale, primarily built up from F notes,  eventually landing on the sound of a B♭ minor chord as a musical conclusion to this  introduction section (t",309,False,True,False,False
112,khaen,"to transcribe one of the most well-known lai (compositions) in isan nuea music  repertoires, called “Lai Teay Khong,” performed by Sombat Simlah, the khaen master from  Mahasarakham Province.215 Sombat Simlah’s rendition of “Lai Teay Kong” was chosen for  transcription because I was impressed by his abil",309,False,True,False,False
113,rhythm,"This section includes drones on B♭ and F, as well as staccato and accented ornaments.  Interestingly, throughout this section, Sombat’s eighth-note rhythmic pattern is quite similar to  a swing rhythm.      Figure 4.10: The B section of “Lai Teay Khong.” Transcription by the author.    In the C section, known as",248,False,True,False,False
113,improvisation,"igure 4.10: The B section of “Lai Teay Khong.” Transcription by the author.    In the C section, known as thamnong yoi, Sombat begins to generate the improvisation that is  related to the theme of “Lai Teay Klong” (Figure 4.10). He uses a question-and-answer  improvisational technique, which is divided into thre",248,False,True,False,False
113,ornamentation,"A (m.14) and melody B (m.30), together in a section called thamnong lak.  This section includes drones on B♭ and F, as well as staccato and accented ornaments.  Interestingly, throughout this section, Sombat’s eighth-note rhythmic pattern is quite similar to  a swing rhythm.      Figure 4.10: The B section",248,False,True,False,False
113,thai_scale,"belled as “B” (Figure  4.9). Sombat performs the melody section twice. The construction of Lai Teay Klong is also  based on the structure of B♭ minor pentatonic scale which is divided into two sections  consisting of melody A (m.14) and melody B (m.30), together in a section called thamnong lak.  This section",248,False,True,False,False
114,improvisation,"CHAPTER 4:  Investigating the Musical Aspects of dontri isan nuea      98  statement. Sombat includes many musical accents in his improvisation based on the melodic  theme, as a result, the tempo slows down in contrast to the C section.     Figure 4.11: The C and D sections of “Lai Teay Khong",233,False,True,False,False
114,thai_scale,"lop improvisations by using intervallic patterns. These intervallic patterns of this section,  primarily F-A♭, and F-B♭ are constructed on a B♭ minor pentatonic scale (mm.93-99), but with  less rhythmic intensity compared to the C section (Figure 4.11). After this improvisation, and  similar to the “head out”",233,False,True,False,False
115,improvisation,"nuea      99  performance. To summarize, isan nuea musicians usually begin a solo introduction, then move  to the melody part, and follow this by an improvisation section, before returning to the melody  out section. (See Appendix A.4 for the full transcription of “Lai Teay Klong” performed by  Sombat Simlah.)2",88,False,True,False,False
116,improvisation,"or adjusted melodic  parts of traditional composition, expanding the form of jazz composition out of the standard  context, and applied the idiomatic improvisation of isan nuea to create a musical hybridity  expression And, because of the structural flexibility of pentatonic scales, typical of isan nuea  melodie",414,False,True,False,True
116,thai_scale,"context, and applied the idiomatic improvisation of isan nuea to create a musical hybridity  expression And, because of the structural flexibility of pentatonic scales, typical of isan nuea  melodies, consequently, I was able to re-harmonize isan nuea traditional melodies smoothly and  practically by using mo",414,False,True,False,True
116,cross_cultural,"PTER 4:  Investigating the Musical Aspects of dontri isan nuea      100  In combining the musical elements of jazz and isan nuea to produce a musical hybridity, I have  developed distinct compositional and arrangement methods that can be divided into three  categories. First, I have begun to experiment to",414,False,True,False,True
117,rhythm,"101  Figure 4.13: Arrangement of “Lai Lom Phat Phrao.”    In contrast to my approach to musical hybridization in “Lai Lom Phat Phrao,” which its  rhythmic patterns remained unchanged, I adjusted the melody parts of “Lai Nok Sai Bin Kham",49,False,False,False,True
117,cross_cultural,"tigating the Musical Aspects of dontri isan nuea      101  Figure 4.13: Arrangement of “Lai Lom Phat Phrao.”    In contrast to my approach to musical hybridization in “Lai Lom Phat Phrao,” which its  rhythmic patterns remained unchanged, I adjusted the melody parts of “Lai Nok Sai Bin Kham",49,False,False,False,True
118,jazz_chord,"for audiences, I decided to construct  this musical hybridization to be improvised in the style of a blues. I use a jazz-blues standard  form and its chord progressions, and later switch between dominant based-harmonies in 5/4  rhythm influenced by “Blue Ronde a la Turk” (which also contains the integration of addit",299,False,True,False,True
118,improvisation,"lodic movement of  traditional music. To provide the musical elements of jazz for audiences, I decided to construct  this musical hybridization to be improvised in the style of a blues. I use a jazz-blues standard  form and its chord progressions, and later switch between dominant based-harmonies in 5/4  rhy",299,False,True,False,True
118,thai_scale,"ich also contains the integration of additive  meters, traditional melodies, and blues improvisation). The modulation technique from the key  A to B♭ pentatonic scales can be observed on the B♭7sus4/F chord to decrease the repetitions  which may be produced by the two-measure phrase of the melody.220",299,False,True,False,True
118,cross_cultural,"generated by the melodic movement of  traditional music. To provide the musical elements of jazz for audiences, I decided to construct  this musical hybridization to be improvised in the style of a blues. I use a jazz-blues standard  form and its chord progressions, and later switch between dominant base",299,False,True,False,True
119,improvisation,"ght to hybridize isan nuea  music and jazz by 1) expanding its compositional form by creating additional sections for both  the melodic parts and the improvisation parts, consisting of the sections of fast swing, Latin  rhythms, free improvisation, and the rhythm of hip-hop, and 2) employing the idiomatic  impro",215,False,True,False,True
119,cross_cultural,"Figure 4.14 “Lai Nok Sai Bin Kham Thung” arrangement, by the author.    For the third composition in this initial compositional process, I sought to hybridize isan nuea  music and jazz by 1) expanding its compositional form by creating additional sections for both  the melodic parts and the improvisation",215,False,True,False,True
120,rhythm,"e opportunity for the memorable melody  of “Lai Teay Khong” to be heard again with the Countdown chord progression. Here, instead  of fast swing, the rhythmic patterns performed emphasize the backbeat, with a laid-back feel,  in a hip-hop style. Because of the diversity of rhythmic patterns and the remarkable chara",243,True,True,False,True
120,jazz_chord,CHAPTER 4:  Investigating the Musical Aspects of dontri isan nuea      104  accompanying instruments. Its harmony in the E section is based on the chord progressions  from “Countdown” by John Coltrane. My intent was to create a piece that contains one of the  most memorable Thai melodic sounds and intermingle it,243,True,True,False,True
120,improvisation,"ble Thai melodic sounds and intermingle it with one of the well-known complex  harmonies of jazz.      When the solo player reaches the climax of the improvisation, performed in alternation  between fast swing and Latin rhythm in the G and the F section, the arrangement transfers  back to the sense of isan nuea",243,True,True,False,True
120,cross_cultural,"character  sound of this most famous composition in isan nuea music, I believe that this arrangement may  significantly contribute to the practice of hybridizing disparate musical elements, as it  implements both jazz and isan nuea elements that can be recognized by audiences of both Thai  music and jazz.",243,True,True,False,True
121,khaen,"cally                                                           222 Chaweewan Dumnern and Tongkam Taikla, “the Sangkeet Sin Center Vol 615, mawlum-mawkhaen”,  <https://www.youtube.com/watch?v=U-dFemBfGmU&feature=youtu.be> (2 October 2020).  223 Terry E. Miller has further explained that mawlum refers to",306,False,True,False,True
122,improvisation,"listeners), or playful attitudes (for entertainment about the  romances, courtships, or personal life experiences of mawlum performers). The lyrical  improvisation technique known as don klon (ด้นกลอน) also can be deployed while performing; as  a consequence, skillful mawlum are capable of performing complicated",337,False,True,False,False
122,khaen,"ily utilize poetic metaphors to construct their  rhymes and lyrical melodies, which must fit together with the sound of the accompanying  instrument (khaen). In general, the messages of mawlum lyrics may refer to the teachings of  Buddha (to encourage and provide morality to people’s lives), unexpected g",337,False,True,False,False
123,thai_mode,"vocal parts. For instance, when performing  mawlum klon, the use of modes to accompany the vocal is divided into three types—namely, the  use of lai thang san, the C, F, G major pentatonic scales for a short performance (lum thang san)  which contains faster tempos, and lai thang yai (A, D, E) for a lon",456,False,False,False,False
123,thai_scale,"hen performing  mawlum klon, the use of modes to accompany the vocal is divided into three types—namely, the  use of lai thang san, the C, F, G major pentatonic scales for a short performance (lum thang san)  which contains faster tempos, and lai thang yai (A, D, E) for a longer performance with a slow  tempo",456,False,False,False,False
123,khaen,"am (หมอ ลําพิธีกรรม) or maw lum phi fa, and 4) mawlum bettalet (หมอลําเบ็ดเตล็ด). Later on, she demonstrates the  use of lai (modes) performed by the khaen, whose melodic lines and accompaniments must  correspond and interact with each other and the vocal parts. For instance, when performing  mawlum klon",456,False,False,False,False
124,jazz_chord,"ales which are also  capable of combing with contemporary jazz harmony, particularly the latter composition,  which can be integrated with Coltrane’s chord progression, “Countdown.” As a result, my  arrangement of “Lai Teay Khong” is able to express both memorable isan nuea melodies as well  as distinct jazz chord p",385,False,True,False,False
124,improvisation,"one of the region’s  most distinctive musical elements. Isan nuea musicians also employ the concept of lai to create  music or produce a spontaneous improvisation. Aside from this meaning of lai, which refers  to the sound of traditional modes, this word can also relate to the name of traditional music,  as wel",385,False,True,False,False
124,thai_scale,"dition, the use of question-and-answer methods similar to those used in jazz  improvisation, as well as chords produced by combining drone sounds and pentatonic scales,  which are equivalent to a suspended chord in jazz harmony, give isan nuea music a homophonic  texture that sets it apart from Thai classical",385,False,True,False,False
124,khaen,"CHAPTER 4:  Investigating the Musical Aspects of dontri isan nuea      108  this region is the khaen that can be used as a solo or accompaniment instrument. When  performing khaen, isan nuea musicians make the sound of drones, which is one of the reg",385,False,True,False,False
127,khaen,"instruments such as keyboards, which are recently  employed in nora performances. In contrast to the homophonic texture of isan nuea produced  by the khaen and phin, or the idiomatic heterophony and polyphonic stratification produced by  Thai classical music ensembles, the musical texture of nora music s",486,True,True,False,False
128,ornamentation,"tempo,  similar to tremolo effects on a lower pitch of a wind instrument which may be heard in jazz.  This usually starts on D, before adding musical ornaments, such as trills or upper and lower  mordents, in the lower register, before gradually ascending to a high pitch (which usually is a  high D), before",476,False,True,False,False
131,cross_cultural,"thoeng sound.235    KLONG, MONG, AND CHING    Other musical instruments of nora musical ensembles that I have found to have potential use  in musical hybridization projects include: 1) klong (known as klong charti in the central Thai  accent), 2) mong (referred to as khong khu in the central Thai dialect)",477,True,False,False,True
132,rhythm,tai       116  contributes a strong downbeat to emphasize a more rhythmic dynamic in the movements of a  nora dancer. Common drum techniques in klong rhythmic patterns include drum rolls and  playing around the edge of the drum with sticks to produce a more wooden sound.     The purpose of the mong (a set of two go,489,False,False,False,False
132,improvisation,"when they are required to sing lyrics (which primarily consist  of Buddha’s teachings, paying homage to teachers, descriptions of their postures, or improvised  rhymes to entertain the audience).236 The mong sound consists of two separate sounds in  descending perfect fifths; for example, a mong in D produc",489,False,False,False,False
133,rhythm,"cond downbeat (as illustrated by the letter “T”) provides  strong rhythmic accents for the performance.     The third example displays the consistent rhythmic patterns of a set of two gongs sounded in  E♭ and A♭, with the ching patterns emphasizing every downbeat also functioning as a time  indicator. In the fourth",255,False,False,False,False
134,rhythm,"CHAPTER 5: Examining the Musical Features of dontri paktai       118     Figure 5.2: Four rhythmic patterns employed in nora performances. Transcription by  the author.    NORA REPERTOIRES AND PERFORMANCE METHODS    As mentioned earlier, nora performances",76,False,False,False,False
135,cross_cultural,s on the differences in performance methods between pi nora  and pi nai.  241 Terry E. Miller explicitly defines phleng luk thung as a musical act of hybridization blending regional  instruments and stylistic traits into modern urban sounds. Phleng luk thung music videos also invoke images of  objects of,423,False,False,False,True
136,ornamentation,"is used in the overture section (homrong) (Figure 5.5)245 transcribed from Umnad Nuniad’s  performance. (Please note that these transcriptions omit ornamentation due to my primary  focus on the melodic lines of nora music.)246                                                           242 Kosonhemmanee, “The De",338,False,False,False,True
136,cross_cultural,"es, nora dancers, and the nora master in a play  (theatrical performance).242    To apply the musical knowledge of nora performance practically in my hybridization project, I  have selected three notable compositions that exhibit influential characteristics of this  traditional music style. The first tran",338,False,False,False,True
138,thai_scale,"“Chak bai” is made up of 28 measures in a 2/4 time signature  that are repeated twice. The melodic structure of this piece is also built on a C major pentatonic  scale, similar to melodic constructions of Thai classical and isan nuea music, with the G note",68,False,False,False,False
139,thai_scale,"Similar to the melody of “Chak bai,” the melodic construction of “Patcha,” as performed in  Umnad Nuniad’s version, is also based on the C major pentatonic scale, with the note G used  at the beginning and end of its several musical phrases, and D at the end. Applying the same  method of jazz analysis of",446,False,True,False,False
139,khaen,"APTER 5: Examining the Musical Features of dontri paktai       123  operating as a marker for the beginning and conclusion of musical phrases. Unlike khaen  performances of isan nuea music, which are constructed by using several interval patterns, the  melodic patterns in “Chak Bai,” a southern Thai comp",446,False,True,False,False
140,cross_cultural,"zz ensemble can provide me with practical methods, as well as  generating more innovative compositional ideas that can be later utilized for musical  hybridization in jazz orchestra writing.247         Figure 5.6a: “Manora.” Composed by the author.",233,False,True,False,True
143,improvisation,"that express the  fisherman’s lifestyle, sea lullabies, and ordinary stories of village-style courtships; these lyrics  are occasionally generated by improvisational processes of vocalists (klon sot). In addition, the  musical instruments employed in the rong ngeng performances of southwest Thailand seem to  be",476,False,True,False,False
145,rhythm,CHAPTER 5: Examining the Musical Features of dontri paktai       129  fundamental rhythmic patterns and a smaller drum (luk kut) for generating variations such as  improvisational fills or off-beat accents. Both regions also feature one unpitched g,220,True,True,False,False
