page,scale_type,match,context
104,lai,Lai Ka,ade substantial contributions to isan nuea music research. I chose Lamut Sapphat’s  performance of “Lai Ka Ten Kon” because of the relevance of several of the techniques  utilized in this performance
104,lai,Lai Ka,"theast Thailand,” PhD Diss., Kent State University (2011),  341-344.  203 Pong lang performance of “Lai Ka Ten Kon,” in Figure 4.5 was transcribed from Lamut Sapphat’s  performances. <https://www.yout"
105,lai,Lai Ka,estigating the Musical Aspects of dontri isan nuea      89    Figure 4.5: Pong lang performance of “Lai Ka Ten Kon.” Transcription by the author.    KLONG HANG (LONG TAIL DRUMS) AND OTHER PERCUSSION
106,pentatonic,pentatonic,"n also be the  name of the sound of traditional isan nuea modes, such as lai yai, (equal to A minor pentatonic  scale) or lai noi (equal to D minor pentatonic scale). In addition, lai is used in the n"
106,pentatonic,pentatonic,"isan nuea modes, such as lai yai, (equal to A minor pentatonic  scale) or lai noi (equal to D minor pentatonic scale). In addition, lai is used in the names of  repetitive melodic lines, used in proce"
106,modal,modes,"g Phu Tom Dok” (bugs swarm flowers). It can also be the  name of the sound of traditional isan nuea modes, such as lai yai, (equal to A minor pentatonic  scale) or lai noi (equal to D minor pentatonic"
106,modal,modes,"u thai  tribe in Kalasin province).     I begin my discussion of lai in its meaning as the sound of modes, as this is the most important  element of the concept to my process of hybridizing isan nuea"
106,thai_mode,thang,"called chap  (damped stoke), and chae (undamped stoke).    4.3 MUSICAL ELEMENTS  LAI    Similar to thang in Thai classical music, the word lai is used in several ways in reference to  significant ele"
106,lai,"LAI 
 
Similar","making two sounds, called chap  (damped stoke), and chae (undamped stoke).    4.3 MUSICAL ELEMENTS  LAI    Similar to thang in Thai classical music, the word lai is used in several ways in reference t"
106,lai,lai is,"undamped stoke).    4.3 MUSICAL ELEMENTS  LAI    Similar to thang in Thai classical music, the word lai is used in several ways in reference to  significant elements of isan nuea.  It is being used in"
106,lai,Lai Ka,"raditional music pieces in  isan nuea, especially ones that refer to nature and landscape, such as “Lai Ka Ten Kon,” (crows  dance over rocks) and “Lai Maeng Phu Tom Dok” (bugs swarm flowers). It can"
106,lai,Lai Maeng,"y ones that refer to nature and landscape, such as “Lai Ka Ten Kon,” (crows  dance over rocks) and “Lai Maeng Phu Tom Dok” (bugs swarm flowers). It can also be the  name of the sound of traditional is"
106,lai,lai yai,"(bugs swarm flowers). It can also be the  name of the sound of traditional isan nuea modes, such as lai yai, (equal to A minor pentatonic  scale) or lai noi (equal to D minor pentatonic scale). In add"
106,lai,lai noi,"the sound of traditional isan nuea modes, such as lai yai, (equal to A minor pentatonic  scale) or lai noi (equal to D minor pentatonic scale). In addition, lai is used in the names of  repetitive me"
106,lai,lai is,", (equal to A minor pentatonic  scale) or lai noi (equal to D minor pentatonic scale). In addition, lai is used in the names of  repetitive melodic lines, used in processions, such as lai seng bang fa"
106,lai,lai seng,"). In addition, lai is used in the names of  repetitive melodic lines, used in processions, such as lai seng bang fai205 or lai klawng yao (long  drum trail processions). Lastly, it is also used in th"
106,lai,lai klawng,"sed in the names of  repetitive melodic lines, used in processions, such as lai seng bang fai205 or lai klawng yao (long  drum trail processions). Lastly, it is also used in the names of regional musi"
106,lai,Lai Phu,"ed in the names of regional music accents, which  include the names of geographical areas, such as “Lai Phu Thai Sakon Nakhon,” (the music of  a phu thai tribe in Sakon Nakhon province) or “Lai Phu Th"
106,lai,Lai Phu,"such as “Lai Phu Thai Sakon Nakhon,” (the music of  a phu thai tribe in Sakon Nakhon province) or “Lai Phu Thai Kalasin” (the music of a phu thai  tribe in Kalasin province).     I begin my discussio"
106,lai,lai in,"hu Thai Kalasin” (the music of a phu thai  tribe in Kalasin province).     I begin my discussion of lai in its meaning as the sound of modes, as this is the most important  element of the concept to m"
107,pentatonic,pentatonic,"an nuea performances  are divided into two groups 1. lai thang yao (equal to the structure of minor pentatonic scales),  and 2. lai thang san (major pentatonic scales) (Figure 4.6).   lai thang yao"
107,pentatonic,pentatonic,"1. lai thang yao (equal to the structure of minor pentatonic scales),  and 2. lai thang san (major pentatonic scales) (Figure 4.6).   lai thang yao    1. lai yai, consisting of A, C, D, E, G (A minor"
107,modal,modes,"al music compositions and describe how I adapt  them to jazz compositions.    For the lai system of modes, isan nuea musicians produce sets of six distinct sounds, using these  sounds in their improvi"
107,modal,modes,"olo performance, or to accompany traditional isan nuea  singing, known as mawlum. Nowadays, the six modes typically heard in isan nuea performances  are divided into two groups 1. lai thang yao (equal"
107,thai_mode,thang,"wadays, the six modes typically heard in isan nuea performances  are divided into two groups 1. lai thang yao (equal to the structure of minor pentatonic scales),  and 2. lai thang san (major pentaton"
107,thai_mode,thang,"d into two groups 1. lai thang yao (equal to the structure of minor pentatonic scales),  and 2. lai thang san (major pentatonic scales) (Figure 4.6).   lai thang yao    1. lai yai, consisting of A, C,"
107,thai_mode,thang,"re of minor pentatonic scales),  and 2. lai thang san (major pentatonic scales) (Figure 4.6).   lai thang yao    1. lai yai, consisting of A, C, D, E, G (A minor pent.)        2. lai noi, or lai long"
107,thai_mode,thang,"of D, F, G, A, C (D minor pent.)    3. lai se, consisting of E, G, A, B, D (E minor pent.)      lai thang san  4. lai sutsanaen, consisting of C, D, E, G, A (C major pent.)     5. lai pong sai, consis"
107,thai_mode,thang,"ajor pent.)           6. lai soi, consisting of G, A, B, D, E (G major pent.)       Figure 4.6: Lai thang yao and lai thang san.    As isan nuea is based on the inspiration of the environment, enterta"
107,thai_mode,thang,"6. lai soi, consisting of G, A, B, D, E (G major pent.)       Figure 4.6: Lai thang yao and lai thang san.    As isan nuea is based on the inspiration of the environment, entertaining communities,"
107,lai,lai as,R 4:  Investigating the Musical Aspects of dontri isan nuea      91  proceed to musical analysis of lai as traditional music compositions and describe how I adapt  them to jazz compositions.    For th
107,lai,lai system,"i as traditional music compositions and describe how I adapt  them to jazz compositions.    For the lai system of modes, isan nuea musicians produce sets of six distinct sounds, using these  sounds in"
107,lai,lai thang,". Nowadays, the six modes typically heard in isan nuea performances  are divided into two groups 1. lai thang yao (equal to the structure of minor pentatonic scales),  and 2. lai thang san (major pent"
107,lai,lai thang,"vided into two groups 1. lai thang yao (equal to the structure of minor pentatonic scales),  and 2. lai thang san (major pentatonic scales) (Figure 4.6).   lai thang yao    1. lai yai, consisting of A"
107,lai,lai thang,"ucture of minor pentatonic scales),  and 2. lai thang san (major pentatonic scales) (Figure 4.6).   lai thang yao    1. lai yai, consisting of A, C, D, E, G (A minor pent.)        2. lai noi, or lai l"
107,lai,lai yai,"atonic scales),  and 2. lai thang san (major pentatonic scales) (Figure 4.6).   lai thang yao    1. lai yai, consisting of A, C, D, E, G (A minor pent.)        2. lai noi, or lai long noi, consisting"
107,lai,lai noi,"(Figure 4.6).   lai thang yao    1. lai yai, consisting of A, C, D, E, G (A minor pent.)        2. lai noi, or lai long noi, consisting of D, F, G, A, C (D minor pent.)    3. lai se, consisting of E,"
107,lai,lai long,").   lai thang yao    1. lai yai, consisting of A, C, D, E, G (A minor pent.)        2. lai noi, or lai long noi, consisting of D, F, G, A, C (D minor pent.)    3. lai se, consisting of E, G, A, B, D"
107,lai,lai se,"minor pent.)        2. lai noi, or lai long noi, consisting of D, F, G, A, C (D minor pent.)    3. lai se, consisting of E, G, A, B, D (E minor pent.)      lai thang san  4. lai sutsanaen, consisting"
107,lai,lai thang,"ing of D, F, G, A, C (D minor pent.)    3. lai se, consisting of E, G, A, B, D (E minor pent.)      lai thang san  4. lai sutsanaen, consisting of C, D, E, G, A (C major pent.)     5. lai pong sai, co"
107,lai,lai sutsanaen,"C (D minor pent.)    3. lai se, consisting of E, G, A, B, D (E minor pent.)      lai thang san  4. lai sutsanaen, consisting of C, D, E, G, A (C major pent.)     5. lai pong sai, consisting of F, G,"
107,lai,lai pong,"nor pent.)      lai thang san  4. lai sutsanaen, consisting of C, D, E, G, A (C major pent.)     5. lai pong sai, consisting of F, G, A, C, D (F major pent.)           6. lai soi, consisting of G, A,"
107,lai,lai soi,"G, A (C major pent.)     5. lai pong sai, consisting of F, G, A, C, D (F major pent.)           6. lai soi, consisting of G, A, B, D, E (G major pent.)       Figure 4.6: Lai thang yao and lai thang s"
107,lai,Lai thang,"(F major pent.)           6. lai soi, consisting of G, A, B, D, E (G major pent.)       Figure 4.6: Lai thang yao and lai thang san.    As isan nuea is based on the inspiration of the environment, ent"
107,lai,lai thang,"6. lai soi, consisting of G, A, B, D, E (G major pent.)       Figure 4.6: Lai thang yao and lai thang san.    As isan nuea is based on the inspiration of the environment, entertaining communit"
107,lai,lai can,", entertaining communities, and  providing musical expression of people’s lives, the utilization of lai can help isan musicians  express their musical feelings, such as pleasure (major tones) or sorro"
108,pentatonic,pentatonic,"d  improvisational elements, I transcribed a live recording of a performance in lai se207 (E minor  pentatonic scale) by the maw khaen Buahong Phajung, a khaen performer native to Udon Thani  Province"
108,modal,modes,"206 (sour sound) while  performing as solo instruments, or to accompany singers. The application of modes in isan nuea  also plays a crucial role in the practice of an improvisation in thamnong yoi (a"
108,modal,modes,"their artistic stories through their instrument.     As an example of how isan nuea musicians apply modes to the construction of melody and  improvisational elements, I transcribed a live recording of"
108,modal,modes,"i: International Journal of Thai Studies  11, no.1(2018), 14.  207 Lai se is one of the traditional modes in isan neua that is not frequently heard. It sounds can provide a mood of  sorrow and sadness"
108,lai,lai se207,"ruction of melody and  improvisational elements, I transcribed a live recording of a performance in lai se207 (E minor  pentatonic scale) by the maw khaen Buahong Phajung, a khaen performer native to"
108,lai,lai se,"provinces along the Thai-Lao border, including Nong Khai Province.208 I decided to  transcribe his lai se performance, revealing the utilization of motivic development crucial to this  khaen performa"
108,lai,Lai se,"ural musical synthesis,” Rian Thai: International Journal of Thai Studies  11, no.1(2018), 14.  207 Lai se is one of the traditional modes in isan neua that is not frequently heard. It sounds can prov"
108,lai,lai se,"not frequently heard. It sounds can provide a mood of  sorrow and sadness. For more information on lai se, please see, Weerayut Seekhunlio, “Phu-Thai musical in  Savannakhet Province and the Republic"
108,lai,Lai se,"dFPU9Jmafs> (26 April 2018).  209 This figure was transcribed from Buahong Phajung’s performance of Lai se, (0.08 -0.53)   <https://www.youtube.com/watch?v=aQsIODlore4> uploaded by Wat Pa Ban Koh, (13"
109,pentatonic,pentatonic,"mprovise on his instrument. The  construction of this performance is primarily based on the E minor pentatonic scale, in which  the intervallic patterns predominantly build up from E, such as, E-G, E-"
109,modal,mode,"the interesting aspects of this performance is how the maw khaen Buahong uses only  one particular mode, lai se, to express the musical story and improvise on his instrument. The  construction of thi"
109,lai,lai se,ing the Musical Aspects of dontri isan nuea      93    Figure 4.7: Buahong Phajung’s performance of lai se. Transcription by the author.    One of the interesting aspects of this performance is how th
109,lai,lai se,"nteresting aspects of this performance is how the maw khaen Buahong uses only  one particular mode, lai se, to express the musical story and improvise on his instrument. The  construction of this perf"
110,pentatonic,pentatonic,"antly, the transcription of Buahong’s performance also reveals that  chords generated by an E minor pentatonic scale, such as Gmaj, G6/9, Emin7, and Dsus4, are used  in various places throughout the p"
110,pentatonic,pentatonic,"ntervallic patterns based on the  individual notes from a particular lai (e.g., in lai yai [A minor pentatonic]).     The player may start to construct the E note as the target pitch, and then move to"
110,pentatonic,pentatonic,"l methods for my musical hybridization project, I have adapted the  application of lai yai (A minor pentatonic) to an open section of a bass solo I played, where I  attempted to imitate the character"
110,lai,lai yai,"struct multiple intervallic patterns based on the  individual notes from a particular lai (e.g., in lai yai [A minor pentatonic]).     The player may start to construct the E note as the target pitch,"
110,lai,lai yai,"owed by C,  then to other pitches. Eventually, the player tries to circulate all pitches within the lai yai. Expert  musicians can efficiently connect all the musical pitches and tell a story without"
110,lai,lai yai,"veloping practical methods for my musical hybridization project, I have adapted the  application of lai yai (A minor pentatonic) to an open section of a bass solo I played, where I  attempted to imita"
110,lai,lai yai,"https://www.youtube.com/watch?v=6oJDOeIwUnw> (3 July 2019).  212 To listen my bass improvisation of lai yai, see <https://soundcloud.com/user-264254280/tanarat-chaichana- bass-solo?si=f09983fb96b24582"
111,lai,lai yai,Indian raga and  tala in John Mclaughlin’s improvisation.213     Figure 4.8: Bass improvisation of lai yai by the author.    Another meaning of lai significant to a cross-cultural music composition s
111,lai,lai significant,mprovisation.213     Figure 4.8: Bass improvisation of lai yai by the author.    Another meaning of lai significant to a cross-cultural music composition study is its use in the  name of traditional c
111,lai,Lai Teay,"t to a cross-cultural music composition study is its use in the  name of traditional compositions. “Lai Teay Khong,” “Lai Lom Phat Phrao” (wind blows  coconut trees), “Lai Maeng Phu Tom Dok” (bugs swa"
111,lai,Lai Lom,"ral music composition study is its use in the  name of traditional compositions. “Lai Teay Khong,” “Lai Lom Phat Phrao” (wind blows  coconut trees), “Lai Maeng Phu Tom Dok” (bugs swarm flowers), “Lai"
111,lai,Lai Maeng,"e of traditional compositions. “Lai Teay Khong,” “Lai Lom Phat Phrao” (wind blows  coconut trees), “Lai Maeng Phu Tom Dok” (bugs swarm flowers), “Lai Nok Sai Nin Kham  Thung” (birds flying over fields"
111,lai,Lai Nok,",” “Lai Lom Phat Phrao” (wind blows  coconut trees), “Lai Maeng Phu Tom Dok” (bugs swarm flowers), “Lai Nok Sai Nin Kham  Thung” (birds flying over fields), are all names of compositions that contain"
111,lai,Lai Taey,"project, see “Applying Idiomatic Isan Nuea  Improvisation to Jazz: Adapting a Khaen Performance of “Lai Taey Khong” by Sombat Simla for Solo Double  Bass” The 2021 AJIRN conference <https://www.youtub"
112,pentatonic,pentatonic,"8).216 It consists of his spontaneous improvisation  in sets of sixteenth notes based on a B♭ minor pentatonic scale, primarily built up from F notes,  eventually landing on the sound of a B♭ minor ch"
112,lai,Lai Teay,"o transcribe one of the most well-known lai (compositions) in isan nuea music  repertoires, called “Lai Teay Khong,” performed by Sombat Simlah, the khaen master from  Mahasarakham Province.215 Sombat"
112,lai,Lai Teay,"ed by Sombat Simlah, the khaen master from  Mahasarakham Province.215 Sombat Simlah’s rendition of “Lai Teay Kong” was chosen for  transcription because I was impressed by his ability to generate impr"
112,lai,Lai Teay,ble to convey a compelling musical story through his khaen performances.  The transcription of his “Lai Teay Kong” is considered in detail below    A KHAEN SOLO TRANSCRIPTION OF “LAI TEAY KHONG” PERFO
112,lai,LAI TEAY,ranscription of his “Lai Teay Kong” is considered in detail below    A KHAEN SOLO TRANSCRIPTION OF “LAI TEAY KHONG” PERFORMED  BY SOMBAT SIMLAH    Sombat Simlah begins his performance with 13 measures
112,lai,Lai Teay,sical conclusion to this  introduction section (thamnong kern).       Figure 4.9: The A section of “Lai Teay Khong.” Transcription by the author.
112,lai,Lai Teay,"ption by the author.                                                           215 Sombat Simlah - “Lai Teay Khong,” Folk Music of E-San Khaen Solo, Vol. 5, Ocean Media (2005).   <https://open.spotify"
113,pentatonic,pentatonic,elody section twice. The construction of Lai Teay Klong is also  based on the structure of B♭ minor pentatonic scale which is divided into two sections  consisting of melody A (m.14) and melody B (m.3
113,pentatonic,pentatonic,"and third themes (mm.60-63). These improvised themes are all based on  the construction of B♭ minor pentatonic scale built up from F, A♭ and B♭ from the horizontal  aspect. In contrast to the improvis"
113,lai,Lai Teay,"ER 4:  Investigating the Musical Aspects of dontri isan nuea      97  Next, the original melody of “Lai Teay Klong” begins in a section I have labelled as “B” (Figure  4.9). Sombat performs the melody"
113,lai,Lai Teay,I have labelled as “B” (Figure  4.9). Sombat performs the melody section twice. The construction of Lai Teay Klong is also  based on the structure of B♭ minor pentatonic scale which is divided into tw
113,lai,Lai Teay,"ghth-note rhythmic pattern is quite similar to  a swing rhythm.      Figure 4.10: The B section of “Lai Teay Khong.” Transcription by the author.    In the C section, known as thamnong yoi, Sombat beg"
113,lai,Lai Teay,"nown as thamnong yoi, Sombat begins to generate the improvisation that is  related to the theme of “Lai Teay Klong” (Figure 4.10). He uses a question-and-answer  improvisational technique, which is di"
113,lai,Lai Teay,"n methods in this section, the improvisational method  in the D section adapts the melody parts of “Lai Teay Klong” (m.64). Here, Sombat attempts  to deliver back the characteristic sound of the compo"
114,pentatonic,pentatonic,"These intervallic patterns of this section,  primarily F-A♭, and F-B♭ are constructed on a B♭ minor pentatonic scale (mm.93-99), but with  less rhythmic intensity compared to the C section (Figure 4.1"
114,lai,Lai Teay,"esult, the tempo slows down in contrast to the C section.     Figure 4.11: The C and D sections of “Lai Teay Khong.” Transcription by the author.    Moving to the E section, Sombat avoids a repetition"
114,lai,Lai Teay,"tinues to the H section (m.146), though the H section omits some parts of the melody A  section of “Lai Teay Klong” to decrease the sense of repetition. It is notable that before this  head out sectio"
114,lai,Lai Teay,". It is notable that before this  head out section, Sombat also implies the sound of the melody of “Lai Teay Klong” by using  the embellishment of improvisational technique, established in the F secti"
115,lai,Lai Teay,"tion, before returning to the melody  out section. (See Appendix A.4 for the full transcription of “Lai Teay Klong” performed by  Sombat Simlah.)217                  Figure 4.12: The E, F, G and H sec"
115,lai,Lai Teay,"long” performed by  Sombat Simlah.)217                  Figure 4.12: The E, F, G and H sections of “Lai Teay Khong.” Transcription by the  author."
116,pentatonic,pentatonic,"f isan nuea to create a musical hybridity  expression And, because of the structural flexibility of pentatonic scales, typical of isan nuea  melodies, consequently, I was able to re-harmonize isan nue"
116,pentatonic,pentatonic,"ramatic Arts, Roi Et, Thailand.218 The melodic movement of this  composition is based on an A minor pentatonic scale, which is melodically organized by the  use of repetition of the first two pitches"
116,modal,mode,"ently, I was able to re-harmonize isan nuea traditional melodies smoothly and  practically by using modern jazz harmonies. These three initial compositional methods  significantly provided me with a b"
116,modal,mode,"tended chords. These chords, such  as D9sus, Fmaj9, C6/9, G-11, and A-11 are employed to contribute modern jazz harmonies based on  the melody of “Lai Lom Phat Phrao.” In addition, the harmonic rhythm"
116,modal,modal,"o.” In addition, the harmonic rhythmic of this musical hybrid  arrangement also utilized the use of modal interchange, with V-7 referred to as G-11 being  used in a multiple of locations. I then decid"
116,lai,Lai Lom,LIMINARY COMPOSITIONS    My first adaptation of isan nuea music is a musical hybrid arrangement of “Lai Lom Phat Phrao”  (Figure 4.13). I transcribed the melody parts of this piece from a video demons
116,lai,Lai Lom,"aj9, C6/9, G-11, and A-11 are employed to contribute modern jazz harmonies based on  the melody of “Lai Lom Phat Phrao.” In addition, the harmonic rhythmic of this musical hybrid  arrangement also uti"
116,lai,Lai Lom,"jazz rhythmic feel.                                                           218 Yothin Phonket, “Lai Lom Phat Phrao,” The Roi Et College of Dramatic Arts.  <https://www.youtube.com/watch?v=f4cUgPe0"
117,lai,Lai Lom,"ER 4:  Investigating the Musical Aspects of dontri isan nuea      101  Figure 4.13: Arrangement of “Lai Lom Phat Phrao.”    In contrast to my approach to musical hybridization in “Lai Lom Phat Phrao,”"
117,lai,Lai Lom,"13: Arrangement of “Lai Lom Phat Phrao.”    In contrast to my approach to musical hybridization in “Lai Lom Phat Phrao,” which its  rhythmic patterns remained unchanged, I adjusted the melody parts of"
117,lai,Lai Nok,"i Lom Phat Phrao,” which its  rhythmic patterns remained unchanged, I adjusted the melody parts of “Lai Nok Sai Bin Kham"
118,pentatonic,pentatonic,"ers, traditional melodies, and blues improvisation). The modulation technique from the key  A to B♭ pentatonic scales can be observed on the B♭7sus4/F chord to decrease the repetitions  which may be p"
118,lai,Lai Nok,"Ellis Marsalis Jr, and “Blue Rondo à la Turk” by Dave  Brubeck, I arranged the original melody of “Lai Nok Sai Bin Kham Thung” which consists of  a repetitive two-bar phrase, similar to the structure"
118,lai,Lai Nok,outube.com/watch?v=Cq-burw7pNA> (28 April 2011).  220 Appendix A.5 contains the full lead sheet of “Lai Nok Sai Bin Kham Thung”
119,modal,mode,"ound of  isan nuea improvisation in order to create the aesthetic of isan nuea based on its musical mode,  lai yai. This is followed by the similarity of the open saxophone solo section, which is in a"
119,modal,mode,"the similarity of the open saxophone solo section, which is in a fast  swing rhythm in the E Dorian mode (minor sound), producing the characteristic sound of  modal jazz for listeners. The melody of “"
119,modal,modal,"in a fast  swing rhythm in the E Dorian mode (minor sound), producing the characteristic sound of  modal jazz for listeners. The melody of “Lai Teay Klong,” one of the famous pieces in isan neua  mus"
119,dorian,Dorian,"wed by the similarity of the open saxophone solo section, which is in a fast  swing rhythm in the E Dorian mode (minor sound), producing the characteristic sound of  modal jazz for listeners. The melo"
119,lai,Lai Nok,"CHAPTER 4:  Investigating the Musical Aspects of dontri isan nuea      103      Figure 4.14 “Lai Nok Sai Bin Kham Thung” arrangement, by the author.    For the third composition in this initial"
119,lai,lai yai,"tion of isan neua using Western instruments, including upright bass and alto  saxophone, to solo on lai yai and lai sutsanaen (ลายสุดสะแนน), as illustrated in my arrangement “Lai  Teay Klong”(Figure 4"
119,lai,lai sutsanaen,"neua using Western instruments, including upright bass and alto  saxophone, to solo on lai yai and lai sutsanaen (ลายสุดสะแนน), as illustrated in my arrangement “Lai  Teay Klong”(Figure 4.15).    The"
119,lai,"Lai 
Teay","o  saxophone, to solo on lai yai and lai sutsanaen (ลายสุดสะแนน), as illustrated in my arrangement “Lai  Teay Klong”(Figure 4.15).    The A section of the open bass solo part requires the player to mi"
119,lai,lai yai,"isan nuea improvisation in order to create the aesthetic of isan nuea based on its musical mode,  lai yai. This is followed by the similarity of the open saxophone solo section, which is in a fast"
119,lai,Lai Teay,"mode (minor sound), producing the characteristic sound of  modal jazz for listeners. The melody of “Lai Teay Klong,” one of the famous pieces in isan neua  music, is performed twice in the D section w"
120,lai,lai sutsanaen,back to the sense of isan nuea character in which all melodic instrument players adapt the use  of lai sutsanaen sounds to perform in free improvisation context.  The head out section of this  arrang
120,lai,Lai Teay,"s  arrangement, which is the I section, also provides the opportunity for the memorable melody  of “Lai Teay Khong” to be heard again with the Countdown chord progression. Here, instead  of fast swing"
120,lai,Lai Teay,ents that can be recognized by audiences of both Thai  music and jazz.221            Figure 4.15a: “Lai Teay Khong” arrangement.                                                             221 Appendi
120,lai,Lai Teay,221 Appendix A.6 contains the complete arrangement of “Lai Teay Khong.”
121,lai,Lai Teay,"CHAPTER 4:  Investigating the Musical Aspects of dontri isan nuea      105    Figure 4.15b: “Lai Teay Khong” arrangement, continued.     4.5 MAWLUM    Mawlum, a traditional singing style, is an"
122,lai,"lai 
ben",obtained from Terry Miller’s study.225      Sound in English:  took tee nah        nawng net nuang lai  ben bang took     sawat baman mee mua   kum huk ton       tu tang tua la tao  mae hawt heang  h
123,pentatonic,pentatonic,"ccompany the vocal is divided into three types—namely, the  use of lai thang san, the C, F, G major pentatonic scales for a short performance (lum thang san)  which contains faster tempos, and lai tha"
123,modal,modes,"w lum phi fa, and 4) mawlum bettalet (หมอลําเบ็ดเตล็ด). Later on, she demonstrates the  use of lai (modes) performed by the khaen, whose melodic lines and accompaniments must  correspond and interact"
123,modal,modes,"nteract with each other and the vocal parts. For instance, when performing  mawlum klon, the use of modes to accompany the vocal is divided into three types—namely, the  use of lai thang san, the C, F"
123,thai_mode,thang,"m klon, the use of modes to accompany the vocal is divided into three types—namely, the  use of lai thang san, the C, F, G major pentatonic scales for a short performance (lum thang san)  which contai"
123,thai_mode,thang,"namely, the  use of lai thang san, the C, F, G major pentatonic scales for a short performance (lum thang san)  which contains faster tempos, and lai thang yai (A, D, E) for a longer performance with"
123,thai_mode,thang,"or pentatonic scales for a short performance (lum thang san)  which contains faster tempos, and lai thang yai (A, D, E) for a longer performance with a slow  tempo, in which the vocalist sings longer"
123,lai,lai thang,"awlum klon, the use of modes to accompany the vocal is divided into three types—namely, the  use of lai thang san, the C, F, G major pentatonic scales for a short performance (lum thang san)  which co"
123,lai,lai thang,"major pentatonic scales for a short performance (lum thang san)  which contains faster tempos, and lai thang yai (A, D, E) for a longer performance with a slow  tempo, in which the vocalist sings lon"
123,lai,"lai 
to","orm  different characters, in a similar way to a theatrical performance setting. The application of lai  to accompany this performance may be varied and depends on the story that was chosen. The  name"
123,lai,lai yai,"ose purpose is to  cure illness. Here, the khaen player accompanies the vocal section by performing lai yai, and the  mawlum invites the local spirits to possess their bodies by using poetic lyrics. T"
124,pentatonic,pentatonic,"ilar to those used in jazz  improvisation, as well as chords produced by combining drone sounds and pentatonic scales,  which are equivalent to a suspended chord in jazz harmony, give isan nuea music"
124,pentatonic,pentatonic,"Phrao,” “Lai Nok Sai Bin Kham Thung,” and  “Lai Teay Khong,” whose melodic construction is based on pentatonic scales which are also  capable of combing with contemporary jazz harmony, particularly th"
124,modal,modes,"pontaneous improvisation. Aside from this meaning of lai, which refers  to the sound of traditional modes, this word can also relate to the name of traditional music,  as well the name of a regional m"
124,modal,modes,"tin, and 5/4 odd times, also effectively interweave with isan nuea traditional melodies. Isan  nuea modes, such as lai yai, and lai sutsanaen can be employed in jazz compositional process to  accentua"
124,lai,lai to,"of the region’s  most distinctive musical elements. Isan nuea musicians also employ the concept of lai to create  music or produce a spontaneous improvisation. Aside from this meaning of lai, which r"
124,lai,Lai Lom,"asize the rhythmic accents on the upbeat, comparable to a swing  feel. Three traditional melodies, “Lai Lom Phat Phrao,” “Lai Nok Sai Bin Kham Thung,” and  “Lai Teay Khong,” whose melodic construction"
124,lai,Lai Nok,"ents on the upbeat, comparable to a swing  feel. Three traditional melodies, “Lai Lom Phat Phrao,” “Lai Nok Sai Bin Kham Thung,” and  “Lai Teay Khong,” whose melodic construction is based on pentatoni"
124,lai,Lai Teay,"swing  feel. Three traditional melodies, “Lai Lom Phat Phrao,” “Lai Nok Sai Bin Kham Thung,” and  “Lai Teay Khong,” whose melodic construction is based on pentatonic scales which are also  capable of"
124,lai,Lai Teay,"can be integrated with Coltrane’s chord progression, “Countdown.” As a result, my  arrangement of “Lai Teay Khong” is able to express both memorable isan nuea melodies as well  as distinct jazz chord"
124,lai,lai yai,"d times, also effectively interweave with isan nuea traditional melodies. Isan  nuea modes, such as lai yai, and lai sutsanaen can be employed in jazz compositional process to  accentuate the characte"
124,lai,lai sutsanaen,"effectively interweave with isan nuea traditional melodies. Isan  nuea modes, such as lai yai, and lai sutsanaen can be employed in jazz compositional process to  accentuate the character of isan nue"
127,diatonic,diatonic,"lassical music  ensembles, but is slightly smaller. The tuning system of the pi nora produces seven diatonic  pitches per octaves over a range of approximately 2 octaves. These pitches are B, C, D, E,"
127,modal,mode,"hese pitches are B, C, D, E, F,  G, A, B ­, C­, D,­ E,­, F ­, G­, A­,  B­­ C­­, D­­ in the standard model (42 cm).  Similar  to isan nuea instruments, some pi nora adapt the Western tuning system, whi"
128,modal,mode,"), and later reach the high D (m. 35)— the highest pitch capable of  being produced by the standard model of the pi nora. After reaching this highest pitch, the pi  nora plays descending melodic patte"
135,modal,mode,uk thung as a musical act of hybridization blending regional  instruments and stylistic traits into modern urban sounds. Phleng luk thung music videos also invoke images of  objects of rural life: fis
135,modal,mode,"s also invoke images of  objects of rural life: fishing nets, agricultural tools, and costumes. The modern city gives rise to modern music.  See, The impact modernization on Traditional music, the boo"
135,modal,mode,"bjects of rural life: fishing nets, agricultural tools, and costumes. The modern city gives rise to modern music.  See, The impact modernization on Traditional music, the book chapter by Miller and Wi"
135,modal,mode,"ets, agricultural tools, and costumes. The modern city gives rise to modern music.  See, The impact modernization on Traditional music, the book chapter by Miller and Williams, The Garland  Handbook o"
138,pentatonic,pentatonic,"signature  that are repeated twice. The melodic structure of this piece is also built on a C major pentatonic  scale, similar to melodic constructions of Thai classical and isan nuea music, with the"
139,pentatonic,pentatonic,"dic construction of “Patcha,” as performed in  Umnad Nuniad’s version, is also based on the C major pentatonic scale, with the note G used  at the beginning and end of its several musical phrases, and"
140,modal,mode,"as minimal change as possible in order to balance compositional  practices between traditional and modern aspects and render an accurate characterization of  nora music to the audience. Indeed, worki"
141,modal,mode,"or the dancer, herself—throughout                                                           248 The modern national border between Thailand and Malaysia was formed as a result of the Anglo-Siamese  Tr"
